customer_id,first_name,email,loyalty_status,total_loyalty_points,last_purchase_date,segment_id,Customer_phone,Customer_since,earned_points,updated_total_points
C1032,Amit,user32@mail.com,Platinum,1716,2024-10-09,HS,9822286180,2016-12-18,18064.18,19780.18
C1033,Rahul,user33@mail.com,Platinum,4451,2024-05-30,REG,9835021998,2020-04-11,83078.1,87529.1
C1034,Amit,user34@mail.com,Platinum,4286,2024-07-04,REG,9559741412,2020-10-26,199843.18,204129.18
C1035,Arjun,user35@mail.com,Bronze,3738,2024-10-22,REG,9520332086,2022-04-22,29996.7,33734.7
C1036,Pooja,user36@mail.com,Silver,2469,2024-04-08,HS,9672966010,2019-12-17,48625.1,51094.1
C1037,Isha,user37@mail.com,Bronze,4795,2024-02-05,AR,9256888294,2018-02-13,118273.90000000001,123068.90000000001
C1038,Sneha,user38@mail.com,Silver,556,2024-01-24,HS,9294846763,2017-01-13,130668.98,131224.97999999998
C1039,Amit,user39@mail.com,Gold,825,2024-04-26,AR,9472309605,2021-07-25,81556.9,82381.9
C1040,Amit,user40@mail.com,Gold,2808,2024-05-28,AR,9083197117,2019-11-21,142099.18,144907.18
C1041,Rahul,user41@mail.com,Platinum,4521,2024-02-10,REG,9766162966,2022-02-13,139986.8,144507.8
C1042,Isha,user42@mail.com,Silver,2719,2024-04-29,AR,9306798268,2020-07-07,201092.69999999998,203811.69999999998
C1043,Neha,user43@mail.com,Gold,3508,2024-02-21,HS,9251785565,2016-01-09,58903.85,62411.85
C1044,Amit,user44@mail.com,Silver,3741,2024-07-13,HS,9291751878,2020-04-09,85273.58,89014.58
C1045,Arjun,user45@mail.com,Gold,1574,2024-05-22,AR,9360613550,2018-11-26,252195.0,253769.0
C1046,Riya,user46@mail.com,Bronze,3998,2024-08-20,REG,9343285529,2019-07-31,225275.19999999998,229273.19999999998
C1047,Sneha,user47@mail.com,Gold,2129,2024-07-05,REG,9958880263,2018-09-27,61502.1,63631.1
C1048,Amit,user48@mail.com,Bronze,2403,2024-03-24,HS,9579984033,2018-08-08,177575.32,179978.32
C1049,Arjun,user49@mail.com,Gold,3329,2024-07-08,REG,9086519602,2022-07-07,66570.3,69899.3
C1050,Arjun,user50@mail.com,Platinum,588,2024-06-30,AR,9148578017,2016-03-04,144791.80000000002,145379.80000000002
C1051,Sneha,user51@mail.com,Bronze,2012,2024-04-17,AR,9161953189,2016-10-20,74791.5,76803.5
C1052,Neha,user52@mail.com,Gold,1547,2024-05-16,HS,9248315126,2018-09-12,183560.1,185107.1
C1053,Arjun,user53@mail.com,Platinum,294,2024-02-06,AR,9411281012,2019-08-14,148375.12,148669.12
C1054,Riya,user54@mail.com,Bronze,1985,2024-03-28,HS,9745122940,2022-10-12,205670.1,207655.1
C1055,Arjun,user55@mail.com,Platinum,3117,2024-09-30,AR,9164073400,2020-07-22,28611.3,31728.3
C1056,Arjun,user56@mail.com,Silver,1690,2024-05-05,HS,9758511779,2018-03-26,89430.76,91120.76
C1057,Arjun,user57@mail.com,Silver,1136,2024-03-24,REG,9229730155,2022-06-06,65344.5,66480.5
C1058,Pooja,user58@mail.com,Bronze,2064,2024-08-24,AR,9068965204,2019-06-29,323843.15,325907.15
C1059,Pooja,user59@mail.com,Gold,4455,2024-07-13,AR,9445461013,2021-03-03,48630.6,53085.6
C1060,Neha,user60@mail.com,Bronze,4795,2024-05-18,HS,9437656494,2015-05-31,83094.06,87889.06
C1061,Amit,user61@mail.com,Platinum,4543,2024-10-12,HS,9355281184,2020-02-06,115225.8,119768.8
C1062,Arjun,user62@mail.com,Gold,4770,2024-04-22,AR,9582624278,2015-12-27,93310.46,98080.46
C1063,Isha,user63@mail.com,Silver,1007,2024-06-15,HS,9500282414,2018-07-12,84477.4,85484.4
C1064,Amit,user64@mail.com,Gold,2514,2024-01-29,AR,9446434187,2017-10-30,177701.9,180215.9
C1065,Neha,user65@mail.com,Silver,3526,2024-04-27,REG,9066857303,2018-08-17,140091.2,143617.2
C1066,Priya,user66@mail.com,Gold,4681,2024-01-17,HS,9222086735,2016-04-19,120454.20000000001,125135.20000000001
C1067,Amit,user67@mail.com,Gold,1247,2024-06-10,AR,9894310083,2019-07-14,122760.09999999999,124007.09999999999
C1068,Amit,user68@mail.com,Gold,3902,2024-07-24,REG,9451125671,2020-10-08,108685.28,112587.28
C1069,Karan,user69@mail.com,Platinum,1435,2024-05-17,REG,9418197538,2015-01-05,257810.5,259245.5
C1070,Rahul,user70@mail.com,Platinum,571,2024-02-03,AR,9971562912,2022-05-17,0.0,571.0
C1071,Karan,user71@mail.com,Bronze,2382,2024-04-18,HS,9826561919,2021-01-31,146136.5,148518.5
C1072,Riya,user72@mail.com,Bronze,1245,2024-10-17,AR,9627150493,2020-03-07,81949.5,83194.5
C1073,Pooja,user73@mail.com,Silver,2084,2024-06-10,REG,9746812123,2019-08-20,135256.94,137340.94
C1074,Pooja,user74@mail.com,Platinum,277,2024-04-18,AR,9020972273,2015-08-11,111030.4,111307.4
C1075,Rahul,user75@mail.com,Silver,1887,2024-09-12,HS,9919909014,2017-02-07,228137.3,230024.3
C1076,Sneha,user76@mail.com,Bronze,4579,2024-07-21,REG,9945597897,2020-10-24,13765.199999999999,18344.199999999997
C1077,Sneha,user77@mail.com,Silver,1265,2024-08-22,AR,9822050912,2019-01-21,103489.5,104754.5
C1078,Neha,user78@mail.com,Bronze,4826,2024-03-14,HS,9618142807,2021-12-25,81039.0,85865.0
C1079,Rahul,user79@mail.com,Platinum,1040,2024-05-15,REG,9408431021,2020-08-03,24567.1,25607.1
C1080,Amit,user80@mail.com,Gold,917,2024-03-12,HS,9512153089,2022-01-05,129226.3,130143.3
C1081,Sneha,user81@mail.com,Platinum,885,2024-05-06,REG,9006330865,2019-12-16,177719.7,178604.7
C1082,Arjun,user82@mail.com,Silver,2752,2024-10-14,AR,9377698143,2015-07-31,192882.6,195634.6
C1083,Isha,user83@mail.com,Silver,21,2024-10-02,HS,9320632895,2017-04-13,191046.66,191067.66
C1084,Amit,user84@mail.com,Platinum,4569,2024-05-14,REG,9809037759,2017-12-29,86682.9,91251.9
C1085,Riya,user85@mail.com,Platinum,3191,2024-10-26,HS,9418744974,2021-02-27,180228.3,183419.3
C1086,Arjun,user86@mail.com,Bronze,2353,2024-08-07,HS,9916382757,2016-06-20,94613.75,96966.75
C1087,Arjun,user87@mail.com,Silver,4799,2024-10-25,AR,9957392814,2018-03-25,119707.20000000001,124506.20000000001
C1088,Rahul,user88@mail.com,Silver,686,2024-07-23,HS,9897356828,2019-11-30,88035.16,88721.16
C1089,Neha,user89@mail.com,Platinum,284,2024-07-04,REG,9449920675,2022-10-31,164680.4,164964.4
C1090,Riya,user90@mail.com,Gold,4811,2024-04-22,REG,9577909930,2020-06-08,218614.3,223425.3
C1091,Sneha,user91@mail.com,Silver,3747,2024-03-11,REG,9802638839,2016-05-12,111339.6,115086.6
C1092,Rahul,user92@mail.com,Gold,762,2024-09-17,REG,9788807316,2015-04-29,150211.36,150973.36
C1093,Sneha,user93@mail.com,Platinum,2428,2024-09-09,AR,9586405096,2022-01-24,113794.0,116222.0
C1094,Rahul,user94@mail.com,Platinum,2507,2024-02-16,HS,9858851904,2021-10-29,0.0,2507.0
C1095,Rahul,user95@mail.com,Bronze,28,2024-01-25,AR,9647737533,2017-09-07,61436.600000000006,61464.600000000006
C1096,Rahul,user96@mail.com,Silver,906,2024-02-26,HS,9964017593,2022-12-17,42628.7,43534.7
C1097,Neha,user97@mail.com,Gold,3104,2024-03-19,HS,9236801619,2016-10-10,171398.9,174502.9
C1098,Rahul,user98@mail.com,Bronze,3999,2024-03-22,HS,9524232414,2018-06-26,139438.36,143437.36
C1099,Priya,user99@mail.com,Silver,2994,2024-08-04,AR,9235602191,2021-03-06,280739.6,283733.6
C1100,Isha,user100@mail.com,Bronze,2506,2024-02-02,HS,9293062061,2015-02-26,109966.92000000001,112472.92000000001
C1101,Sneha,user101@mail.com,Platinum,4665,2024-07-16,AR,9467975319,2021-03-12,156937.2,161602.2
C1102,Amit,user102@mail.com,Silver,3609,2024-07-14,REG,9521454127,2019-07-30,77407.6,81016.6
C1103,Karan,user103@mail.com,Bronze,3553,2024-08-27,REG,9031165166,2016-01-17,163461.7,167014.7
C1104,Riya,user104@mail.com,Bronze,1453,2024-09-27,HS,9417532243,2017-07-09,129212.0,130665.0
C1105,Pooja,user105@mail.com,Gold,4833,2024-05-08,AR,9360916347,2016-04-09,102372.4,107205.4
C1106,Neha,user106@mail.com,Bronze,3356,2024-10-10,REG,9718197581,2020-03-05,68240.8,71596.8
C1107,Amit,user107@mail.com,Silver,515,2024-01-06,AR,9729223044,2016-04-26,260609.34,261124.34
C1108,Arjun,user108@mail.com,Silver,38,2024-02-28,AR,9856998797,2022-04-07,261139.12,261177.12
C1109,Priya,user109@mail.com,Gold,3342,2024-10-01,HS,9434131719,2016-09-22,5387.46,8729.46
C1110,Pooja,user110@mail.com,Silver,886,2024-05-16,REG,9777583839,2020-08-03,93650.5,94536.5
C1111,Karan,user111@mail.com,Platinum,2844,2024-06-23,HS,9177215428,2023-01-14,107813.90000000001,110657.90000000001
C1112,Amit,user112@mail.com,Silver,2204,2024-02-27,HS,9902486082,2018-04-10,88274.83,90478.83
C1113,Pooja,user113@mail.com,Silver,1098,2024-05-30,REG,9501856351,2020-09-15,122987.3,124085.3
C1114,Amit,user114@mail.com,Bronze,1823,2024-08-10,REG,9987350298,2022-11-29,14460.0,16283.0
C1115,Priya,user115@mail.com,Bronze,3201,2024-03-21,AR,9137039296,2018-01-24,257627.56,260828.56
C1116,Karan,user116@mail.com,Silver,3155,2024-08-20,REG,9668143326,2019-08-29,93421.19,96576.19
C1117,Arjun,user117@mail.com,Gold,3093,2024-01-02,AR,9573510887,2020-05-30,320934.4,324027.4
C1118,Rahul,user118@mail.com,Bronze,3530,2024-05-14,AR,9028955006,2020-04-18,92745.7,96275.7
C1119,Sneha,user119@mail.com,Gold,3778,2024-09-13,AR,9973807454,2017-09-25,108042.42,111820.42
C1120,Arjun,user120@mail.com,Silver,2896,2024-04-01,REG,9423076025,2020-02-14,47579.2,50475.2
C1121,Rahul,user121@mail.com,Silver,3453,2024-09-16,HS,9635540030,2021-03-07,76988.6,80441.6
C1122,Neha,user122@mail.com,Platinum,3511,2024-02-24,AR,9606011277,2016-08-15,44445.9,47956.9
C1123,Isha,user123@mail.com,Bronze,988,2024-06-01,HS,9711890569,2019-04-21,117564.8,118552.8
C1124,Riya,user124@mail.com,Silver,4116,2024-09-16,HS,9029100607,2017-02-19,177325.9,181441.9
C1125,Riya,user125@mail.com,Platinum,4964,2024-04-11,REG,9090137896,2021-09-21,186074.5,191038.5
C1126,Sneha,user126@mail.com,Bronze,4026,2024-03-19,HS,9690147183,2020-09-12,151517.22,155543.22
C1127,Karan,user127@mail.com,Silver,4179,2024-07-10,HS,9460219456,2016-07-13,69271.2,73450.2
C1128,Priya,user128@mail.com,Silver,1682,2024-03-23,REG,9145706210,2015-10-13,97399.1,99081.1
C1129,Karan,user129@mail.com,Bronze,4665,2024-10-03,AR,9930774552,2018-02-05,0.0,4665.0
C1130,Priya,user130@mail.com,Bronze,3963,2024-09-28,HS,9495744935,2019-08-27,67524.64,71487.64
C1131,Karan,user131@mail.com,Bronze,933,2024-01-01,REG,9195130056,2018-10-24,86020.7,86953.7
C1132,Isha,user132@mail.com,Silver,3598,2024-06-14,HS,9053992714,2020-09-10,56425.9,60023.9
C1133,Neha,user133@mail.com,Silver,3233,2024-09-07,HS,9279340713,2017-12-30,98597.1,101830.1
C1134,Neha,user134@mail.com,Platinum,1980,2024-01-10,AR,9407059676,2015-01-11,86007.4,87987.4
C1135,Rahul,user135@mail.com,Gold,1855,2024-02-27,HS,9351492250,2018-03-04,97388.02,99243.02
C1136,Pooja,user136@mail.com,Bronze,3056,2024-07-04,REG,9227268503,2023-02-21,78645.0,81701.0
C1137,Neha,user137@mail.com,Silver,792,2024-06-06,HS,9488229686,2018-05-07,200104.9,200896.9
C1138,Neha,user138@mail.com,Silver,791,2024-05-02,AR,9350948014,2021-08-01,214416.9,215207.9
C1139,Arjun,user139@mail.com,Bronze,1809,2024-01-30,AR,9362388455,2021-07-03,102803.5,104612.5
C1140,Arjun,user140@mail.com,Gold,2255,2024-05-03,REG,9817364173,2022-05-27,222384.80000000002,224639.80000000002
C1141,Rahul,user141@mail.com,Bronze,3610,2024-10-17,AR,9944506245,2020-06-28,119702.1,123312.1
C1142,Pooja,user142@mail.com,Gold,1607,2024-02-10,HS,9407083673,2016-08-31,126212.0,127819.0
C1143,Sneha,user143@mail.com,Silver,984,2024-02-13,AR,9298775766,2020-01-04,40203.4,41187.4
C1144,Arjun,user144@mail.com,Gold,3676,2024-09-05,REG,9807464398,2021-01-15,16057.26,19733.260000000002
C1145,Sneha,user145@mail.com,Platinum,3380,2024-02-05,AR,9893271900,2020-06-06,81044.46,84424.46
C1146,Amit,user146@mail.com,Silver,519,2024-09-29,AR,9452651788,2018-11-14,252999.0,253518.0
C1147,Arjun,user147@mail.com,Platinum,590,2024-03-05,AR,9270874491,2018-09-23,74422.28,75012.28
C1148,Isha,user148@mail.com,Bronze,1050,2024-03-06,REG,9896478772,2021-03-10,170554.0,171604.0
C1149,Pooja,user149@mail.com,Bronze,3633,2024-08-31,AR,9087946147,2021-02-03,75462.8,79095.8
C1150,Rahul,user150@mail.com,Bronze,4444,2024-10-08,AR,9504988121,2019-03-26,39630.0,44074.0
C1151,Amit,user151@mail.com,Gold,959,2024-03-25,HS,9020812641,2020-02-09,91617.5,92576.5
C1152,Pooja,user152@mail.com,Silver,692,2024-05-15,REG,9804258674,2018-08-11,72338.1,73030.1
C1153,Isha,user153@mail.com,Bronze,3899,2024-09-27,AR,9579196799,2017-02-11,319858.72000000003,323757.72000000003
C1154,Pooja,user154@mail.com,Bronze,4473,2024-08-04,REG,9055926488,2022-10-27,90474.51,94947.51
C1155,Isha,user155@mail.com,Silver,2946,2024-04-18,AR,9375767056,2017-09-05,289623.5,292569.5
C1156,Isha,user156@mail.com,Bronze,526,2024-10-03,AR,9240756713,2021-05-31,68834.25,69360.25
C1157,Sneha,user157@mail.com,Platinum,3224,2024-04-12,AR,9698086909,2019-04-18,110364.52,113588.52
C1158,Karan,user158@mail.com,Silver,2253,2024-06-08,HS,9073678414,2017-08-14,0.0,2253.0
C1159,Amit,user159@mail.com,Silver,3344,2024-07-23,HS,9838842599,2019-08-10,106912.0,110256.0
C1160,Pooja,user160@mail.com,Silver,3965,2024-07-10,HS,9699816232,2015-06-28,155746.4,159711.4
C1161,Priya,user161@mail.com,Platinum,1875,2024-08-12,REG,9043226844,2018-07-27,207861.91999999998,209736.91999999998
C1162,Amit,user162@mail.com,Silver,1763,2024-09-21,REG,9809851739,2020-04-21,137752.84,139515.84
C1163,Karan,user163@mail.com,Platinum,520,2024-08-19,HS,9033318206,2022-11-28,205153.5,205673.5
C1164,Amit,user164@mail.com,Silver,1016,2024-03-02,REG,9265518424,2019-04-11,99199.8,100215.8
C1165,Neha,user165@mail.com,Gold,116,2024-05-06,AR,9214061901,2019-05-01,7047.0,7163.0
C1166,Priya,user166@mail.com,Bronze,2433,2024-04-25,AR,9901115118,2022-06-11,73973.40000000001,76406.40000000001
C1167,Karan,user167@mail.com,Gold,583,2024-02-02,AR,9021882877,2022-04-24,89913.59999999999,90496.59999999999
C1168,Sneha,user168@mail.com,Bronze,394,2024-06-22,HS,9667154083,2016-09-15,121234.59999999999,121628.59999999999
C1169,Pooja,user169@mail.com,Platinum,3788,2024-01-11,REG,9163619298,2020-07-21,72444.7,76232.7
C1170,Riya,user170@mail.com,Gold,2768,2024-10-10,HS,9256135680,2015-06-01,96070.9,98838.9
C1171,Karan,user171@mail.com,Silver,4167,2024-04-27,REG,9135528741,2016-06-01,36755.44,40922.44
C1172,Rahul,user172@mail.com,Bronze,3860,2024-04-22,AR,9508482316,2020-08-19,33808.840000000004,37668.840000000004
C1173,Pooja,user173@mail.com,Bronze,273,2024-01-04,HS,9718825964,2021-08-14,113260.59999999999,113533.59999999999
C1174,Karan,user174@mail.com,Gold,2013,2024-02-06,REG,9122824732,2018-09-21,184207.3,186220.3
C1175,Neha,user175@mail.com,Platinum,4433,2024-01-31,REG,9605557720,2016-02-16,79225.2,83658.2
C1176,Riya,user176@mail.com,Gold,1389,2024-04-27,AR,9234037646,2019-12-09,166020.1,167409.1
C1177,Neha,user177@mail.com,Platinum,3566,2024-02-04,HS,9499326438,2016-02-13,70476.6,74042.6
C1178,Riya,user178@mail.com,Platinum,4702,2024-01-17,HS,9751044796,2020-11-24,119536.9,124238.9
C1179,Rahul,user179@mail.com,Bronze,165,2024-06-18,HS,9275139575,2020-02-15,61081.5,61246.5
C1180,Pooja,user180@mail.com,Gold,1567,2024-02-06,AR,9823450567,2015-03-04,37967.64,39534.64
C1181,Sneha,user181@mail.com,Gold,728,2024-09-20,HS,9396098177,2023-02-07,105936.6,106664.6
C1182,Neha,user182@mail.com,Platinum,2043,2024-05-01,AR,9180162221,2016-08-13,190354.5,192397.5
C1183,Neha,user183@mail.com,Gold,4197,2024-05-22,AR,9650572325,2019-08-07,89701.06,93898.06
C1184,Isha,user184@mail.com,Silver,3496,2024-09-05,AR,9652027025,2022-05-05,13297.0,16793.0
C1185,Riya,user185@mail.com,Silver,778,2024-04-19,REG,9803079055,2016-09-24,112753.3,113531.3
C1186,Arjun,user186@mail.com,Gold,213,2024-10-03,HS,9771330207,2015-11-03,116349.0,116562.0
C1187,Pooja,user187@mail.com,Gold,3762,2024-03-08,HS,9122978730,2020-04-07,226995.8,230757.8
C1188,Riya,user188@mail.com,Platinum,1576,2024-10-19,AR,9835147672,2017-12-21,96625.8,98201.8
C1189,Isha,user189@mail.com,Silver,2448,2024-10-22,AR,9879717936,2018-10-18,120648.16,123096.16
C1190,Amit,user190@mail.com,Silver,2936,2024-08-30,HS,9175842194,2021-12-27,141302.3,144238.3
C1191,Riya,user191@mail.com,Bronze,3117,2024-05-04,AR,9333975497,2022-10-08,75142.04,78259.04
C1192,Sneha,user192@mail.com,Platinum,591,2024-08-30,HS,9116070149,2019-06-17,79665.59999999999,80256.59999999999
C1193,Pooja,user193@mail.com,Bronze,2720,2024-07-27,REG,9621358005,2022-04-15,117973.7,120693.7
C1194,Isha,user194@mail.com,Silver,713,2024-04-07,AR,9027571992,2015-11-25,79595.06,80308.06
C1195,Amit,user195@mail.com,Platinum,935,2024-02-18,HS,9997385005,2018-09-07,122981.8,123916.8
C1196,Priya,user196@mail.com,Gold,4337,2024-02-19,AR,9334961542,2022-07-25,71748.0,76085.0
C1197,Isha,user197@mail.com,Platinum,1,2024-08-08,HS,9618257024,2020-12-25,88179.9,88180.9
C1198,Priya,user198@mail.com,Gold,2848,2024-06-30,HS,9727296111,2019-04-06,53974.5,56822.5
C1199,Pooja,user199@mail.com,Gold,4044,2024-08-04,AR,9974985653,2018-07-21,0.0,4044.0
C1200,Neha,user200@mail.com,Platinum,1949,2024-07-29,REG,9402982778,2022-01-11,154297.74,156246.74
C1201,Isha,user201@mail.com,Gold,917,2024-08-27,HS,9425904456,2023-01-22,138136.02000000002,139053.02000000002
C1202,Rahul,user202@mail.com,Bronze,3174,2024-01-28,HS,9767741192,2020-06-21,94209.40000000001,97383.40000000001
C1203,Priya,user203@mail.com,Silver,2241,2024-02-20,HS,9212954978,2021-01-25,49249.5,51490.5
C1204,Sneha,user204@mail.com,Gold,89,2024-02-01,REG,9081600593,2015-05-28,112802.7,112891.7
C1205,Rahul,user205@mail.com,Bronze,1709,2024-07-25,REG,9635760237,2021-12-04,80913.3,82622.3
C1206,Karan,user206@mail.com,Gold,2169,2024-06-22,AR,9741541582,2015-10-08,5205.4,7374.4
C1207,Karan,user207@mail.com,Silver,4238,2024-02-25,REG,9891819497,2017-08-19,69734.09999999999,73972.09999999999
C1208,Amit,user208@mail.com,Bronze,3041,2024-05-07,AR,9673496394,2022-01-29,58305.0,61346.0
C1209,Neha,user209@mail.com,Silver,105,2024-04-08,AR,9260757540,2022-09-04,192110.0,192215.0
C1210,Pooja,user210@mail.com,Silver,886,2024-04-07,REG,9109415691,2018-03-23,58786.1,59672.1
C1211,Isha,user211@mail.com,Bronze,427,2024-10-01,AR,9748605284,2017-07-20,4752.37,5179.37
C1212,Arjun,user212@mail.com,Bronze,1895,2024-08-17,REG,9829445037,2016-01-06,210360.3,212255.3
C1213,Sneha,user213@mail.com,Bronze,316,2024-03-12,AR,9323821937,2019-11-13,266758.58,267074.58
C1214,Priya,user214@mail.com,Platinum,634,2024-08-04,REG,9912995414,2016-02-08,9041.44,9675.44
C1215,Pooja,user215@mail.com,Bronze,1925,2024-04-03,REG,9734717549,2022-02-08,176788.6,178713.6
C1216,Rahul,user216@mail.com,Bronze,2056,2024-05-22,AR,9644687060,2022-11-23,114040.7,116096.7
C1217,Karan,user217@mail.com,Bronze,3144,2024-08-24,HS,9864929067,2016-02-16,142293.68,145437.68
C1218,Sneha,user218@mail.com,Bronze,2270,2024-05-07,AR,9129981882,2019-12-23,27914.1,30184.1
C1219,Arjun,user219@mail.com,Gold,1439,2024-02-08,REG,9854942461,2016-11-12,1426.92,2865.92
C1220,Isha,user220@mail.com,Platinum,552,2024-08-14,HS,9607665448,2022-10-13,44129.700000000004,44681.700000000004
C1221,Amit,user221@mail.com,Silver,715,2024-10-08,AR,9840348305,2018-05-11,96332.40000000001,97047.40000000001
C1222,Arjun,user222@mail.com,Bronze,3911,2024-02-20,AR,9044097647,2015-04-29,52967.4,56878.4
C1223,Sneha,user223@mail.com,Gold,1713,2024-01-26,AR,9372807202,2015-07-08,28072.899999999998,29785.899999999998
C1224,Arjun,user224@mail.com,Gold,3389,2024-10-03,HS,9572030854,2018-08-21,140167.9,143556.9
C1225,Sneha,user225@mail.com,Gold,1107,2024-01-08,REG,9459967386,2015-08-18,14579.859999999999,15686.859999999999
C1226,Sneha,user226@mail.com,Silver,4206,2024-02-17,AR,9710303128,2018-04-16,119535.09999999999,123741.09999999999
C1227,Riya,user227@mail.com,Bronze,250,2024-05-01,AR,9397897455,2019-01-08,324298.6,324548.6
C1228,Priya,user228@mail.com,Platinum,2430,2024-03-26,AR,9074041730,2019-03-16,23400.3,25830.3
C1229,Karan,user229@mail.com,Platinum,2054,2024-07-27,AR,9543271261,2019-10-31,1624.62,3678.62
C1230,Riya,user230@mail.com,Gold,458,2024-09-05,AR,9695294275,2016-08-19,0.0,458.0
C1231,Isha,user231@mail.com,Silver,207,2024-09-03,REG,9366394187,2017-09-27,152320.1,152527.1
C1232,Riya,user232@mail.com,Silver,899,2024-04-19,REG,9013585139,2020-12-15,149368.5,150267.5
C1233,Neha,user233@mail.com,Silver,3461,2024-07-24,AR,9912224883,2019-08-15,67951.7,71412.7
C1234,Neha,user234@mail.com,Platinum,3385,2024-01-31,HS,9451034639,2021-05-07,63744.8,67129.8
C1235,Karan,user235@mail.com,Gold,21,2024-03-25,REG,9882971099,2022-08-24,28198.699999999997,28219.699999999997
C1236,Arjun,user236@mail.com,Bronze,409,2024-07-13,HS,9526350075,2017-01-07,62356.54,62765.54
C1237,Priya,user237@mail.com,Platinum,894,2024-01-02,REG,9113321496,2016-11-27,41217.399999999994,42111.399999999994
C1238,Karan,user238@mail.com,Gold,514,2024-07-18,AR,9465492204,2016-12-18,73445.0,73959.0
C1239,Sneha,user239@mail.com,Gold,4904,2024-05-15,REG,9388896443,2015-11-20,82792.06,87696.06
C1240,Rahul,user240@mail.com,Bronze,4969,2024-08-20,AR,9682454310,2021-11-01,75475.0,80444.0
C1241,Priya,user241@mail.com,Bronze,4109,2024-05-26,REG,9957321378,2019-04-16,53126.1,57235.1
C1242,Priya,user242@mail.com,Bronze,2134,2024-08-04,AR,9889817696,2021-12-13,52065.100000000006,54199.100000000006
C1243,Sneha,user243@mail.com,Silver,3595,2024-10-11,AR,9493641365,2022-08-30,9927.6,13522.6
C1244,Sneha,user244@mail.com,Bronze,2956,2024-09-06,AR,9759466878,2017-09-13,94146.9,97102.9
